PMCID	PMID	Title	Journal	Publication_Date	Image_Number
PMC6692619	31417647	A randomized trial of conventional fraction versus hypofraction radiotherapy for bone metastases from hepatocellular carcinoma	Journal of Cancer	2019-07-08	1
PMC7031298	32076001	Dissociation dynamics of the diamondoid adamantane upon photoionization by XUV femtosecond pulses	Scientific Reports	2020-02-19	2
PMC8042231	33859985	The Mechanism Switching the Osteoclast From Short to Long Duration Bone Resorption	Frontiers in Cell and Developmental Biology	2021-03-30	3
PMC8761596	35027438	Impact of COVID-19 lockdowns on adolescent pregnancy and school dropout among secondary schoolgirls in Kenya	BMJ Global Health	2022-01-13	4
PMC8497153	34630562	Recurrent Germline Mutations of CHEK2 as a New Susceptibility Gene in Patients with Pheochromocytomas and Paragangliomas	International Journal of Endocrinology	2021-09-30	5
PMC4007522	24618120	A meta-analysis of the association between gestational diabetes mellitus and chronic hepatitis B infection during pregnancy	BMC Research Notes	2014-03-11	6
PMC3865092	24358256	Soluble Products of  Induce Mitochondrial Dysfunction-Related Sperm Membrane Lipid Peroxidation Which Is Prevented by Lactobacilli	PLoS ONE	2013-12-16	7
PMC6056945	30041612	Emergence of norovirus GII.P16-GII.2 strains in patients with acute gastroenteritis in Huzhou, China, 2016&#x02013;2017	BMC Infectious Diseases	2018-07-24	8
PMC9597801	36290204	Habit Formation and the Effect of Repeated Stress Exposures on Cognitive Flexibility Learning in Horses	Animals : an Open Access Journal from MDPI	2022-10-18	9
PMC4597356	26446348	Microplastics in Arctic polar waters: the first reported values of particles in surface and sub-surface samples	Scientific Reports	2015-10-08	10
PMC6497740	31080798	Stereoselectivity Switch in the Reduction of &#x003b1;-Alkyl-&#x003b2;-Arylenones by Structure-Guided Designed Variants of the Ene Reductase OYE1	Frontiers in Bioengineering and Biotechnology	2019-04-26	11
PMC7894318	32915505	Structural Characterization of N&#x02010;Linked Glycans in the Receptor Binding Domain of the SARS&#x02010;CoV&#x02010;2 Spike Protein and their Interactions with Human Lectins	Angewandte Chemie (International Ed. in English)	2020-12-21	12
PMC7911407	33525378	Indirect Somatic Embryogenesis and Cryopreservation of  Weber Cultivar &#x02018;Chato&#x02019;	Plants	2021-01-28	13
PMC8827482	35089912	A high-throughput method to deliver targeted optogenetic stimulation to moving  populations	PLoS Biology	2022-01-28	14
PMC5524967	28740108	Replication of H9 influenza viruses in the human  respiratory tract, and the influence of neuraminidase on virus release	Scientific Reports	2017-07-24	15
PMC9385334	35992561	Implication of Salivary Biochemical Parameters for Diagnosis and Prognosis of Type 2 Diabetes Mellitus	International Journal of Analytical Chemistry	2022-08-10	16
PMC7000125	31767621	Deep Characterization of the Human Antibody Response to Natural Infection Using Longitudinal Immune Repertoire Sequencing	Molecular &#x00026; Cellular Proteomics : MCP	2020-02-25	17
PMC5897475	28044231	Plant actin depolymerizing factor: actin microfilament disassembly and more	Journal of Plant Research	2017-01-02	18
PMC8645127	34863159	Trends of chronic illness in emergency department admissions among elderly adults in a tertiary hospital over ten years	BMC Health Services Research	2021-12-04	19
PMC6221276	30403685	A longitudinal study of attitudes toward evolution among undergraduates who are members of the Church of Jesus Christ of Latter-day Saints	PLoS ONE	2018-11-07	20
PMC4667061	26664824	Enhanced Neuroprotective Effects of Coadministration of Tetrandrine with Glutathione in Preclinical Model of Parkinson's Disease	Parkinson's Disease	2015-11-18	21
PMC5791309	29423135	Altered reward system reactivity for personalized circumscribed interests in autism	Molecular Autism	2018-01-30	22
PMC7749150	33339863	Self-assembled particulate vaccine elicits strong immune responses and reduces  infection in mice	Scientific Reports	2020-12-18	23
PMC4897217	27382616	Prediction of Slot Shape and Slot Size for Improving the Performance of Microstrip Antennas Using Knowledge-Based Neural Networks	International Scholarly Research Notices	2014-10-28	24
PMC6192080	30402478	Application of Machine Learning Techniques for Clinical Predictive Modeling: A Cross-Sectional Study on Nonalcoholic Fatty Liver Disease in China	BioMed Research International	2018-10-03	25
PMC8057243	33880464	Medical Care Disruptions During the First Six-Months of the COVID19 Pandemic: The Experience of Older Breast Cancer Survivors	Research Square	2021-04-14	26
PMC7070549	31978949	Diversity and Composition of Rumen Bacteria, Fungi, and Protozoa in Goats and Sheep Living in the Same High-Altitude Pasture	Animals : an Open Access Journal from MDPI	2020-01-22	27
PMC5820972	29503819	Granulin Secreted by the Food-Borne Liver Fluke  Promotes Angiogenesis in Human Endothelial Cells	Frontiers in Medicine	2018-02-16	28
