Image Names	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes 
elife-00170-fig4-v1.jpg	TRUE	Y	N	N	Definitely problematic	The contrast does help in part E, but probably not enough.
elife-00190-fig3-v1.jpg	FALSE				Definitely okay	
elife-00205-fig1-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-00312-fig5-v1.jpg	FALSE				Definitely okay	
elife-00425-fig4-v1.jpg	FALSE				Definitely okay	
elife-00647-fig1-v1.jpg	FALSE				Definitely okay	
elife-00683-fig3-v1.jpg	TRUE	Y	Y	N	Definitely okay	
elife-00800-fig5-v2.jpg	TRUE	N	N	N	Definitely problematic	Sub-figure C
elife-00828-fig1-v1.jpg	FALSE				Definitely okay	
elife-00857-fig11-v1.jpg	TRUE	Y	Y	N	Definitely okay	
elife-00961-fig2-v1.jpg	FALSE				Gray-scale	
elife-00996-fig7-v1.jpg	TRUE	N	N	N	Probably problematic	Sub-figure E has green in it. Unclear whether that is important to interpreting the figure.
elife-01009-fig8-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-01067-fig2-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-01067-fig5-v1.jpg	TRUE	N	N	Y	Definitely problematic	Sub-figure C has problems with red, green brown.
elife-01179-fig4-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-01197-fig5-v1.jpg	TRUE	Y	N	Y	Definitely okay	
elife-01213-fig1-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-01222-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-01289-fig6-v1.jpg	FALSE				Definitely okay	
elife-01295-fig2-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-01323-fig1-v1.jpg	FALSE				Definitely okay	
elife-01345-fig8-v1.jpg	FALSE				Gray-scale	
elife-01426-fig2-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-01460-fig3-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-01596-fig5-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-01621-fig2-v3.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-01621-fig9-v3.jpg	TRUE	N	N	N	Probably okay	Sub-figure C4 - unsure whether the red contrast means something important.
elife-01623-fig2-v1.jpg	TRUE	Y	N	Y	Probably okay	Orange and green are pretty similar.
elife-01741-fig9-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-01749-fig6-v1.jpg	TRUE	N	N	N	Definitely problematic	Red disappears into blue on sub-figure F.
elife-01832-fig13-v1.jpg	TRUE	N	N	N	Probably problematic	Unclear whether red tint is important.
elife-01948-fig1-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-01982-fig3-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-02025-fig3-v1.jpg	FALSE				Definitely okay	
elife-02046-fig5-v1.jpg	TRUE	Y	Y	N	Probably okay	Sub-figure C has colors that can be differentiated, but the differences are subtle, especially with light greens and light reds.
elife-02172-fig2-v1.jpg	FALSE				Gray-scale	
elife-02217-fig9-v1.jpg	TRUE	Y	N	N	Probably problematic	Green and orange may be too similar.
elife-02238-fig1-v1.jpg	FALSE				Definitely okay	
elife-02313-fig1-v1.jpg	FALSE				Definitely okay	
elife-02324-fig3-v1.jpg	FALSE				Definitely okay	
elife-02362-fig1-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-02669-fig3-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-02669-fig8-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-02923-fig8-v2.jpg	FALSE				Definitely okay	
elife-02948-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-03080-fig5-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-03091-fig1-v1.jpg	FALSE				Gray-scale	
elife-03198-fig1-v2.jpg	TRUE	N	N	Y	Definitely problematic	Sub-figure A
elife-03198-fig5-v2.jpg	FALSE				Definitely okay	
elife-03254-fig7-v3.jpg	TRUE	N	N	N	Definitely problematic	
elife-03422-fig3-v1.jpg	TRUE	N	N	N	Definitely problematic	Pink and blue fade into the same color on sub-figure C.
elife-03502-fig5-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-03528-fig3-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-03614-fig8-v2.jpg	FALSE				Definitely okay	
elife-03658-fig3-v2.jpg	FALSE				Definitely okay	
elife-03696-fig6-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-03703-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-03743-fig7-v1.jpg	TRUE	N	N	N	Definitely problematic	Not red/green issues, but the red disappears into the background.
elife-03765-fig6-v2.jpg	FALSE				Definitely okay	
elife-03781-fig6-v2.jpg	FALSE				Definitely okay	
elife-03848-fig2-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-03851-fig7-v2.jpg	TRUE	N	Y	N	Definitely problematic	Labels are helpful in some places but not everywhere.
elife-03915-fig1-v2.jpg	FALSE				Definitely okay	
elife-03952-fig7-v1.jpg	FALSE				Definitely okay	
elife-03971-fig4-v2.jpg	TRUE	N	N	N	Probably problematic	On sub-figure B, red and green may be too similar.
elife-04066-fig2-v2.jpg	FALSE				Gray-scale	
elife-04137-fig5-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-04232-fig1-v2.jpg	FALSE				Gray-scale	
elife-04346-fig4-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-04353-fig5-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-04395-fig3-v2.jpg	FALSE				Definitely okay	
elife-04407-fig5-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-04433-fig3-v2.jpg	FALSE				Gray-scale	
elife-04490-fig1-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-04499-fig2-v2.jpg	FALSE				Definitely okay	
elife-04531-fig3-v2.jpg	FALSE				Gray-scale	
elife-04551-fig10-v2.jpg	TRUE	N	N	N	Definitely problematic	
