Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
1	PMC6692619	31417647	A randomized trial of conventional fraction versus hypofraction radiotherapy for bone metastases from hepatocellular carcinoma	Journal of Cancer	7/8/2019	FALSE				Gray-scale	
2	PMC7031298	32076001	Dissociation dynamics of the diamondoid adamantane upon photoionization by XUV femtosecond pulses	Scientific Reports	2/19/2020	FALSE				Gray-scale	
3	PMC8042231	33859985	The Mechanism Switching the Osteoclast From Short to Long Duration Bone Resorption	Frontiers in Cell and Developmental Biology	3/30/2021	FALSE				Definitely okay	
4	PMC8761596	35027438	Impact of COVID-19 lockdowns on adolescent pregnancy and school dropout among secondary schoolgirls in Kenya	BMJ Global Health	1/13/2022	FALSE				Gray-scale	
5	PMC8497153	34630562	Recurrent Germline Mutations of CHEK2 as a New Susceptibility Gene in Patients with Pheochromocytomas and Paragangliomas	International Journal of Endocrinology	9/30/2021	TRUE	Y	N	N	Definitely okay	
6	PMC4007522	24618120	A meta-analysis of the association between gestational diabetes mellitus and chronic hepatitis B infection during pregnancy	BMC Research Notes	3/11/2014	FALSE				Gray-scale	
7	PMC3865092	24358256	Soluble Products of Induce Mitochondrial Dysfunction-Related Sperm Membrane Lipid Peroxidation Which Is Prevented by Lactobacilli	PLoS ONE	12/16/2013	FALSE				Gray-scale	
8	PMC6056945	30041612	Emergence of norovirus GII.P16-GII.2 strains in patients with acute gastroenteritis in Huzhou, China, 2016&#x02013;2017	BMC Infectious Diseases	7/24/2018	TRUE	Y	Y	N	Definitely okay	
9	PMC9597801	36290204	Habit Formation and the Effect of Repeated Stress Exposures on Cognitive Flexibility Learning in Horses	Animals : an Open Access Journal from MDPI	10/18/2022	TRUE	Y	N	N	Probably okay	there green grass next to red horse but most likely not important
10	PMC4597356	26446348	Microplastics in Arctic polar waters: the first reported values of particles in surface and sub-surface samples	Scientific Reports	10/8/2015	TRUE	N	Y	N	Probably problematic	There is greenish-blue that disappear. Not sure how important
11	PMC6497740	31080798	Stereoselectivity Switch in the Reduction of &#x003b1;-Alkyl-&#x003b2;-Arylenones by Structure-Guided Designed Variants of the Ene Reductase OYE1	Frontiers in Bioengineering and Biotechnology	4/26/2019	TRUE	Y	N	N	Definitely okay	
12	PMC7894318	32915505	Structural Characterization of N&#x02010;Linked Glycans in the Receptor Binding Domain of the SARS&#x02010;CoV&#x02010;2 Spike Protein and their Interactions with Human Lectins	Angewandte Chemie (International Ed. in English)	12/21/2020	FALSE				Definitely okay	
13	PMC7911407	33525378	Indirect Somatic Embryogenesis and Cryopreservation of Weber Cultivar &#x02018;Chato&#x02019;	Plants	1/28/2021	TRUE	N	N	N	Definitely problematic	
14	PMC8827482	35089912	A high-throughput method to deliver targeted optogenetic stimulation to moving populations	PLoS Biology	1/28/2022	TRUE	N	N	N	Definitely problematic	
15	PMC5524967	28740108	Replication of H9 influenza viruses in the human respiratory tract, and the influence of neuraminidase on virus release	Scientific Reports	7/24/2017	FALSE				Gray-scale	
16	PMC9385334	35992561	Implication of Salivary Biochemical Parameters for Diagnosis and Prognosis of Type 2 Diabetes Mellitus	International Journal of Analytical Chemistry	8/10/2022	FALSE				Definitely okay	
17	PMC7000125	31767621	Deep Characterization of the Human Antibody Response to Natural Infection Using Longitudinal Immune Repertoire Sequencing	Molecular &#x00026; Cellular Proteomics : MCP	2/25/2020	TRUE	Y	N	Y	Definitely okay	
18	PMC5897475	28044231	Plant actin depolymerizing factor: actin microfilament disassembly and more	Journal of Plant Research	1/2/2017	FALSE				Gray-scale	
19	PMC8645127	34863159	Trends of chronic illness in emergency department admissions among elderly adults in a tertiary hospital over ten years	BMC Health Services Research	12/4/2021	FALSE				Definitely okay	
20	PMC6221276	30403685	A longitudinal study of attitudes toward evolution among undergraduates who are members of the Church of Jesus Christ of Latter-day Saints	PLoS ONE	11/7/2018	FALSE				Gray-scale	
21	PMC4667061	26664824	Enhanced Neuroprotective Effects of Coadministration of Tetrandrine with Glutathione in Preclinical Model of Parkinson's Disease	Parkinson's Disease	11/18/2015	FALSE				Gray-scale	
22	PMC5791309	29423135	Altered reward system reactivity for personalized circumscribed interests in autism	Molecular Autism	1/30/2018	FALSE				Definitely okay	
23	PMC7749150	33339863	Self-assembled particulate vaccine elicits strong immune responses and reduces infection in mice	Scientific Reports	12/18/2020	FALSE				Gray-scale	
24	PMC4897217	27382616	Prediction of Slot Shape and Slot Size for Improving the Performance of Microstrip Antennas Using Knowledge-Based Neural Networks	International Scholarly Research Notices	10/28/2014	FALSE				Gray-scale	
25	PMC6192080	30402478	Application of Machine Learning Techniques for Clinical Predictive Modeling: A Cross-Sectional Study on Nonalcoholic Fatty Liver Disease in China	BioMed Research International	10/3/2018	FALSE				Definitely okay	
26	PMC8057243	33880464	Medical Care Disruptions During the First Six-Months of the COVID19 Pandemic: The Experience of Older Breast Cancer Survivors	Research Square	4/14/2021	FALSE				Gray-scale	
27	PMC7070549	31978949	Diversity and Composition of Rumen Bacteria, Fungi, and Protozoa in Goats and Sheep Living in the Same High-Altitude Pasture	Animals : an Open Access Journal from MDPI	1/22/2020	TRUE	Y	N	N	Definitely okay	
28	PMC5820972	29503819	Granulin Secreted by the Food-Borne Liver Fluke Promotes Angiogenesis in Human Endothelial Cells	Frontiers in Medicine	2/16/2018	TRUE	N	Y	N	Definitely okay	
29	PMC7467897	32952822	Aspects cliniques th&#x000e9;rapeutiques et pronostiques des tumeurs germinales malignes de l&#x02019;ovaire: exp&#x000e9;rience tunisienne de 21 ans	The Pan African Medical Journal	7/13/2020	FALSE				Definitely okay	
30	PMC8397934	34444769	Curcumin, an Inhibitor of p300-HAT Activity, Suppresses the Development of Hypertension-Induced Left Ventricular Hypertrophy with Preserved Ejection Fraction in Dahl Rats	Nutrients	7/29/2021	FALSE				Gray-scale	
31	PMC6473526	30960452	Hexagonal and Square Patterned Silver Nanowires/PEDOT:PSS Composite Grids by Screen Printing for Uniformly Transparent Heaters	Polymers	3/12/2019	FALSE				Definitely okay	
32	PMC5592010	28932243	Sensitive Wavelengths Selection in Identification of Based on Near-Infrared Hyperspectral Imaging Technology	International Journal of Analytical Chemistry	8/27/2017	FALSE				Gray-scale	
33	PMC4440450	25500265	Tuberculosis among migrant populations in the European Union and the European Economic Area	The European Journal of Public Health	6/14/2015	FALSE				Definitely okay	
34	PMC6174231	30327598	Jigsaw Puzzling Taps Multiple Cognitive Abilities and Is a Potential Protective Factor for Cognitive Aging	Frontiers in Aging Neuroscience	10/1/2018	FALSE				Gray-scale	
35	PMC3560539	23396380	Vestibular Rehabilitation Outcomes in the Elderly with Chronic Vestibular Dysfunction	Iranian Red Crescent Medical Journal	11/15/2012	FALSE				Gray-scale	
36	PMC7139822	32150806	Flumazenil-Insensitive Benzodiazepine Effects in Recombinant &#x003b1;&#x003b2; and Neuronal GABA Receptors	Brain Sciences	3/5/2020	FALSE				Gray-scale	
37	PMC6222684	30096766	Stability Study and Identification of Degradation Products of Caffeoylgluconic Acid Derivatives from Fructus Euodiae	Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry	8/8/2018	FALSE				Gray-scale	
38	PMC5980338	29876085	Resistance of a terrestrial plant community to local microhabitat changes	Ecology and Evolution	4/24/2018	TRUE	Y	N	Y	Definitely okay	
39	PMC6430100	30918763	Increased risk of thyroid disease in patients with Sjogren's syndrome: a systematic review and meta-analysis	PeerJ	3/19/2019	FALSE				Definitely okay	
40	PMC7582993	33027895	Parental SIRT1 Overexpression Attenuate Metabolic Disorders Due to Maternal High-Fat Feeding	International Journal of Molecular Sciences	10/5/2020	FALSE				Gray-scale	
41	PMC7827057	33430043	Scaling up Studies on PEMFC Using a Modified Serpentine Flow Field Incorporating Porous Sponge Inserts to Observe Water Molecules	Molecules	1/8/2021	FALSE				Definitely okay	
42	PMC8960616	34152575	BMI and dissatisfaction with life: contextual factors and socioemotional costs of obesity	Quality of Life Research	6/21/2022	FALSE				Gray-scale	
43	PMC8164757	34051726	Epidemiology and outcomes from severe hypoglycemia in Kuwait: a prospective cohort study	BMC Emergency Medicine	5/29/2021	FALSE				Gray-scale	
44	PMC9655455	36359766	Osteoprotegerin (OPG) Upregulation Activates Breast Stromal Fibroblasts and Enhances Their Pro-Carcinogenic Effects through the STAT3/IL-6 Signaling	Cells	10/25/2022	FALSE				Gray-scale	
45	PMC8827098	35136126	Synthesis of two novel bio-based hydrogels using sodium alginate and chitosan and their proficiency in physical immobilization of enzymes	Scientific Reports	2/8/2022	TRUE	Y	N	N	Definitely okay	
46	PMC9308263	35869435	Genome-wide characterization of Typhimurium genes required for the fitness under iron restriction	BMC Genomic Data	7/22/2022	TRUE	Y	Y	Y	Definitely okay	
